PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
226,EmbeddedOSInstal,0.0,00:00.77,2,2,56,20K,0B,15M,226,1,sleeping,0[5],0.00000,0.00000,0,36517,234,7606,4513,16803,7181,11329,219,160,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
225,TouchBarUserDevi,0.0,00:01.00,2,2,43,420K,0B,1008K,225,1,sleeping,*0[812],0.00000,0.00000,0,13764,157,14639,7162,20010,11856,15446,309,360,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
221,com.apple.CodeSi,0.0,00:02.86,2,2,20,2764K,0B,3452K,221,1,sleeping,0[2390],0.00000,0.00000,0,48426,106,22543,10029,298064,24307,37780,6,1640,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
211,socketfilterfw,0.0,00:53.68,3,1,55,4572K,0B,10M,211,1,sleeping,*0[1],0.00000,0.00000,0,285142,186,97559,7130,1166814,189326,321019,54,511,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
210,biometrickitd,0.0,00:58.96,2,1,79,436K,0B,4848K,210,1,sleeping,*0[1],0.00000,0.00000,0,409808,451,157381,603675,3353660,1473818,1588166,1033,5702,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
209,VDCAssistant,0.0,01:19.65,3,2,97,21M,0B,14M,209,1,sleeping,*0[1],0.00000,0.00000,0,204257,856,3168170,1565331,577738,1750916,646020,371,105091,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
208,eoshostd,0.0,00:00.67,2,1,277,12K,0B,908K,208,1,sleeping,*0[1],0.00000,0.00000,0,9264,125,22785,11760,12515,34438,10121,29,245,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
207,com.apple.ifdrea,0.0,00:00.06,2,1,29,8192B,0B,1000K,207,1,sleeping,0[46],0.00000,0.00000,0,6457,141,948,420,645,1173,1167,33,10,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
206,thermald,0.0,00:00.41,2,1,31,12K,0B,868K,206,1,sleeping,*0[1],0.00000,0.00000,0,7505,148,4461,2871,11240,8949,7573,83,513,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
205,usbd,0.0,00:12.49,2,1,72,288K,0B,2936K,205,1,sleeping,*0[1],0.00000,0.00000,0,15486,158,504766,408446,143337,1409768,300362,66,4392,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
204,corestoraged,0.0,00:00.61,2,1,56,12K,0B,2108K,204,1,sleeping,*0[1],0.00000,0.00000,0,18104,145,14415,6984,9559,27129,15378,33,124,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
203,ntpd,0.0,00:12.61,3,3,28,364K,0B,1728K,203,1,sleeping,*0[1],0.00000,0.00000,0,9968,338,21140,6764,1688763,9715,253803,249,129811,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
202,nehelper,0.0,00:05.10,2,1,80,944K,0B,1952K,202,1,sleeping,0[4226],0.00000,0.00000,0,52689,163,117329,51601,264288,122878,106011,529,2649,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
201,nsurlsessiond,0.0,00:10.43,3,1,103,3284K,0B,2484K,201,1,sleeping,0[8929],0.00000,0.00000,242,77408,229,167985,43418,554322,339939,314582,357,3113,0.0,_nsurlsessiond,N/A,N/A,N/A,N/A,N/A,N/A
199,CrashReporterSup,0.0,00:00.94,2,1,36,28K,0B,1128K,199,1,sleeping,*1[26],0.00000,0.00000,0,16015,132,8520,4226,46495,12381,16951,50,117,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
197,systemstats,0.0,00:00.80,2,2,25,20K,0B,6308K,197,1,sleeping,0[3],0.00000,0.00000,0,14190,193,547,488,264397,1750,5273,204,132,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
195,CVMServer,0.0,00:00.70,2,2,96,396K,0B,1708K,195,1,sleeping,*0[1],0.00000,0.00000,0,13248,101,14844,5348,46674,14977,22335,37,2334,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
187,coresymbolicatio,0.0,00:01.85,2,2,26,12K,0B,2200K,187,1,sleeping,0[10945],0.00000,0.00000,0,13413,131,69470,23431,101747,70324,33816,392,487,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
180,diskmanagementd,0.0,00:02.65,5,1,74,12K,0B,2412K,180,1,sleeping,*0[1],0.00000,0.00000,0,22517,253,46604,20300,317985,49833,37786,353,167,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
